"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-A2-A25F-01A-11R-A169-07",41.6514,91.2446,18.1073,33.1603,48.6803,0.1362,57.4859,34.9931,110.4494,58.3427,29.7591,19.4597,682.6921,22.9217,0.0113,20.1418,67.6576,21.3911,3.4678,1639.3052,110.8544,41.839,7.933,24.6246,144.2744,0.73400735539808
"TCGA-A2-A3XS-01A-11R-A22U-07",14.7996,64.3678,38.4397,11.989,8.8806,0.5255,78.0509,16.4203,60.8932,33.1653,11.1778,18.2058,439.3282,4.8259,0.2261,78.3541,42.4475,8.9162,1.4337,632.7695,37.0145,90.0198,9.0718,5.9399,139.3544,0.416012674442295
"TCGA-A2-A4RX-01A-11R-A266-07",100.416,351.0702,88.4367,22.2556,17.583,0.193,42.7195,186.4214,174.1064,41.4776,37.4026,28.7335,515.0722,30.1056,0.1348,58.4338,23.9336,12.8876,17.6928,524.396,112.8142,62.844,5.9141,16.4451,89.3976,0.448643504629182
"TCGA-A2-A4S0-01A-21R-A266-07",35.303,77.1798,7.7838,34.6684,35.1793,0.0172,40.1813,9.6219,71.9274,27.8889,31.9026,30.3613,535.8683,39.8574,0,7.1917,4.8909,20.9952,0.5457,1071.4817,9.697,85.7787,10.9526,13.0846,310.1407,0.287418940512727
"TCGA-A2-A4S1-01A-21R-A266-07",33.06,72.2748,32.95,7.9882,32.46,0.059,36.2163,29.7023,36.8346,35.1136,12.2771,15.0509,732.3444,10.7828,0.456,30.7003,7.2482,4.478,2.8092,929.0251,20.327,101.6536,4.8406,5.8596,29.4264,0.777550752907218
"TCGA-A2-A4S2-01A-12R-A266-07",53.5429,104.5396,7.4318,24.4727,33.1359,0.1181,54.3437,19.9559,72.3536,24.4955,27.1548,26.3149,490.7315,22.0804,0.1591,19.5724,9.6342,13.2458,0.8478,706.7898,37.9489,120.4082,9.2124,6.8894,244.0552,0.114252416331146
"TCGA-A7-A0CD-01A-11R-A00Z-07",40.5846,63.5574,9.1301,40.7298,42.5275,0.1839,86.8805,40.6995,169.2753,78.1359,27.2169,18.0025,936.4441,2.7764,0.1255,33.0611,18.0584,71.9782,0.5119,1107.417,64.7163,193.5245,11.6983,15.0132,78.7274,0.461079389657731
"TCGA-A7-A0CG-01A-12R-A056-07",44.2254,78.3355,2.6915,32.1745,51.0437,0,55.3469,26.2384,98.4345,46.9801,22.761,14.9052,545.8514,20.4257,0.0385,9.4301,20.5996,22.5492,1.1243,1111.2635,44.7014,70.9859,10.4619,11.1714,120.7143,0.434126907319591
"TCGA-A7-A0CH-01A-21R-A00Z-07",65.4281,67.2962,3.2475,38.037,40.7464,0.0554,50.4688,17.5116,104.4789,37.4518,31.2198,16.2572,608.8108,4.2774,0.1794,9.7458,13.6841,23.1254,5.1592,953.2385,33.6227,79.023,9.9754,12.9622,219.427,0.37447982192974
"TCGA-A7-A0DA-01A-31R-A115-07",73.4445,110.4726,12.1766,11.6303,37.919,0.1219,63.4555,38.6166,96.4541,56.6648,16.6347,14.2406,673.4049,62.3965,0.2469,16.1411,29.0549,15.6728,11.9032,1092.3337,22.4967,41.707,9.7106,6.1089,70.9792,0.526194393367528
"TCGA-A7-A0DC-01A-11R-A00Z-07",14.7845,8.8447,0.3167,19.1704,13.8395,0.1155,13.8668,7.9177,40.481,19.8421,11.6687,2.7258,127.9061,0.9513,0.0302,3.3373,3.0098,40.9815,1.384,337.9055,12.5934,7.6881,5.5287,8.0937,63.4422,0.436592600016855
